,Site1,Site2,Site3,Site4,Site5,Site6,Site7
192,9009.5,8710.5,8855.5,9048.5,8730.0,8943.5,8662.5
193,9097.0,8839.0,8771.5,8977.5,8739.0,8857.5,8599.5
194,9139.0,8841.0,8735.5,8861.0,8547.5,8785.5,8533.5
195,9041.5,8760.0,8713.0,8839.5,8628.0,8884.0,8926.0
196,9075.5,8705.5,8753.5,8868.0,8706.5,8922.0,8700.0
197,9084.0,8672.5,8735.5,9009.0,8627.5,8863.0,8640.5
198,9073.0,8690.0,8824.0,8923.0,8672.5,8849.5,8560.5
199,8975.0,8698.0,8945.5,8848.0,8618.0,8780.5,8416.0
200,8871.0,8670.0,8788.0,9101.5,8762.5,8937.5,8578.0
201,8914.5,8627.5,8763.5,8879.5,8611.0,8928.5,8595.0
202,8934.5,8698.5,8773.5,8886.0,8572.0,8946.0,8675.0
203,8843.0,8611.5,8623.5,8811.5,8547.5,8854.5,8583.0
204,8896.0,8612.5,8674.5,8674.5,8488.0,8778.5,8667.0
205,8863.0,8607.5,8732.0,8727.5,8492.5,8709.0,8475.5
206,8736.0,8505.0,8601.0,8728.5,8513.0,8608.0,8350.0
207,8755.0,8489.0,8585.5,8827.0,8587.0,8691.0,8471.0
208,8759.0,8486.0,8548.0,8906.0,8573.5,8690.0,8355.5
209,8713.0,8421.0,8546.5,8807.0,8515.5,8398.5,8062.0
210,8623.0,8367.0,8585.0,8589.0,8246.0,8497.5,8179.5
211,8632.5,8339.0,8391.5,8469.5,8368.0,8372.5,8316.5
212,8573.5,8395.5,8457.5,8576.5,8219.5,8415.0,8054.0
213,8589.5,8296.5,8502.0,8529.5,8311.0,8305.0,7954.0
214,8487.0,8242.0,8488.5,8616.0,8369.5,8337.0,8133.0
215,8516.0,8183.0,8337.0,8768.5,8476.5,8403.5,8150.0
216,8361.0,8178.5,8292.0,8508.5,8356.5,8652.5,8333.5
217,8307.0,8132.5,8355.5,8629.0,8250.5,8618.0,8291.0
218,8432.5,8130.5,8312.0,8519.5,8198.5,8494.0,8303.5
219,8287.0,8096.0,8327.0,8558.0,8269.5,8398.0,8195.5
220,8236.0,8084.0,8336.5,8527.0,8142.0,8356.5,8135.5
221,8198.0,8021.5,8215.0,8448.5,8190.0,8407.0,8287.5
222,8235.5,8025.5,8287.5,8411.0,8117.0,8214.5,8146.0
223,8248.5,8034.5,8271.0,8361.5,8096.0,8463.0,8111.0
224,8274.5,8036.0,8313.0,8288.0,8084.5,8203.0,7990.0
225,8169.5,7971.0,8116.5,8240.5,8027.0,8246.5,7941.5
226,8092.5,7960.5,8075.5,8268.5,8004.5,8056.5,7936.0
227,8064.0,7850.0,8056.5,8224.5,7953.0,8136.0,7941.0
